path,class_name,class_id
dataset_procesado\cerda_012\20260317_132551_036.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133422_083.jpg,cerda_002,1
dataset_procesado\cerda_001\.trashed-1776432377-20260317_132351_036.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132551_067.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132351_058.jpg,cerda_001,0
dataset_procesado\cerda_003\20260320_142042_008.jpg,cerda_003,2
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132532_013.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133422_019.jpg,cerda_002,1
dataset_procesado\cerda_004\20260320_140720_026.jpg,cerda_004,3
dataset_procesado\cerda_012\20260317_132511_030.jpg,cerda_012,11
dataset_procesado\cerda_007\20260320_141655_015.jpg,cerda_007,6
dataset_procesado\cerda_012\20260401_111041_001.jpg,cerda_012,11
dataset_procesado\cerda_001\20260320_135731_027.jpg,cerda_001,0
dataset_procesado\cerda_001\.trashed-1776432376-20260317_132242_096.jpg,cerda_001,0
dataset_procesado\cerda_006\IMG-20250420-WA0012.jpg,cerda_006,5
dataset_procesado\cerda_003\20260320_141959_041.jpg,cerda_003,2
dataset_procesado\cerda_001\20260317_133413_053.jpg,cerda_001,0
dataset_procesado\cerda_001\20260317_132406_064.jpg,cerda_001,0
dataset_procesado\cerda_012\20260401_111041_027.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132546_027.jpg,cerda_012,11
dataset_procesado\cerda_012\20260320_134940_006.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132551_057.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132546_009.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132542_024.jpg,cerda_012,11
dataset_procesado\cerda_006\IMG-20250420-WA0022.jpg,cerda_006,5
dataset_procesado\cerda_001\.trashed-1776432379-20260317_132242_068.jpg,cerda_001,0
dataset_procesado\cerda_012\20260317_132511_040.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432230-20260317_132532_068.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132532_014.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132551_067.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432229-20260317_132500_008.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132546_071.jpg,cerda_012,11
dataset_procesado\cerda_012\20260317_132511_008.jpg,cerda_012,11
dataset_procesado\cerda_007\20260317_134206_057.jpg,cerda_007,6
dataset_procesado\cerda_007\20260320_141655_036.jpg,cerda_007,6
dataset_procesado\cerda_012\20260317_132546_066.jpg,cerda_012,11
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132546_052.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133538_021.jpg,cerda_002,1
dataset_procesado\cerda_012\IMG-20250420-WA0178.jpg,cerda_012,11
dataset_procesado\cerda_001\.trashed-1776432380-20260317_132242_042.jpg,cerda_001,0
dataset_procesado\cerda_002\20260317_133428_004.jpg,cerda_002,1
dataset_procesado\cerda_011\20260320_141309_009.jpg,cerda_011,10
dataset_procesado\cerda_012\.trashed-1776432231-20260317_132518_003.jpg,cerda_012,11
dataset_procesado\cerda_002\20260317_133601_022.jpg,cerda_002,1
