epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.375,0.28613,0.81607,0.91645,0.99984,1,0.995,0.995,0.19882,0.5015,0.34537,0.00066,0.00066,0.00066
2,608.69,0.2156,0.25384,0.87638,0.99986,1,0.995,0.99224,0.33502,0.43487,0.3858,0.00119533,0.00119533,0.00119533
3,913.711,0.18362,0.20365,0.86843,0.99987,1,0.995,0.995,0.22749,0.41433,0.36696,0.00159865,0.00159865,0.00159865
4,1208.18,0.1625,0.18323,0.87361,0.99987,1,0.995,0.995,0.33165,0.43544,0.3962,0.001406,0.001406,0.001406
5,1499.99,0.13544,0.1555,0.87069,0.99986,1,0.995,0.80625,0.35424,0.52023,0.40441,0.001208,0.001208,0.001208
6,1788.15,0.11995,0.13478,0.86478,0.99987,1,0.995,0.995,0.31516,0.42081,0.40141,0.00101,0.00101,0.00101
7,2068.49,0.11022,0.12053,0.85644,0.99987,1,0.995,0.995,0.28631,0.43496,0.39356,0.000812,0.000812,0.000812
8,2352.33,0.0958,0.11146,0.85311,0.99987,1,0.995,0.995,0.26244,0.43302,0.38184,0.000614,0.000614,0.000614
9,2644.31,0.07724,0.09618,0.85834,0.99987,1,0.995,0.995,0.2618,0.40853,0.38737,0.000416,0.000416,0.000416
10,2954.43,0.06603,0.08583,0.85289,0.99987,1,0.995,0.995,0.24051,0.37913,0.3792,0.000218,0.000218,0.000218
